,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
23,Jordan 1 Retro High OG Patent Bred,Nike,170,2021-12-30,192,4058,345,361,892,1500,166,0.218613,59732,330,218,0.048077
24,Jordan 4 Retro Military Black (GS),Nike,160,2022-05-21,178,1379,344,221,1065,646,160,0.097544,5859,234,237,0.077273
25,adidas Adilette 22 Slides St Desert Sand,Adidas,55,2022-06-01,67,355,333,81,166,179,55,0.080985,1124,80,83,0.092105
26,Jordan 1 Low Shadow Toe,Nike,100,2022-03-01,133,964,330,200,600,378,114,0.072197,5719,160,170,0.231884
27,Nike Dunk Low Safari Mix (W),Nike,120,2022-05-05,109,1888,308,240,343,430,94,0.050192,14115,148,125,0.041667
28,Jordan 1 Retro High OG Heritage,Nike,170,2022-05-25,155,3784,306,163,633,650,116,0.048907,8946,195,155,0
29,Nike Dunk Low Rose Whisper (W),Nike,100,2022-03-01,157,1538,300,167,514,310,140,0.049362,5564,179,175,0
30,Jordan 2 Retro A Ma Maniére Airness,Nike,225,2022-06-04,250,1589,299,369,949,600,240,0.075905,2230,358,400,0.17393
31,Jordan 6 Retro Red Oreo,Nike,200,2022-06-04,188,1045,295,242,187,526,180,0.058685,1940,227,201,0.052356
32,Nike Dunk Low White Black (2021) (W),Nike,100,2021-03-10,190,1725,294,200,388,345,144,0.045877,60174,234,217,0.002995
33,adidas Yeezy Foam RNNR Stone Sage,Adidas,90,2022-03-11,161,1968,288,211,377,345,137,0.070939,20867,189,166,0.012195
34,Nike Dunk Low Racer Blue White,Nike,100,,135,768,281,215,1010,370,113,0.102715,5863,149,143,0.059259
35,adidas Yeezy Slide Ochre,Adidas,60,2021-12-13,93,1853,277,196,418,335,78,0.116474,51689,131,133,0.099174
36,Nike Air Max 1 Kasina Won-Ang Orange,Nike,160,2022-06-08,195,772,276,233,947,616,175,0.066189,1349,247,195,0.020942
37,Nike Air Max 1 Travis Scott Cactus Jack Saturn Gold,Nike,150,2022-05-27,228,2365,266,350,1868,3000,198,0.132355,4447,417,329,0.057042
38,Jordan 11 Retro Cool Grey (2021),Nike,225,2021-12-11,212,3463,262,367,663,841,150,0.140762,115541,317,329,0.348193
39,Jordan 1 Low Bred Toe,Nike,100,2021-12-08,129,2787,261,141,673,317,102,0.061012,29281,160,129,-0.043513
40,Nike Dunk High Black White (2021),Nike,110,2022-01-27,126,1666,256,195,290,377,36,0.074463,18945,180,135,0.054688
41,adidas Yeezy Boost 350 V2 Beluga Reflective,Adidas,240,2021-12-18,214,3874,247,300,617,821,212,0.12569,44487,316,256,-0.085714
42,Nike Dunk Low Premium Vast Grey,Nike,100,2022-03-01,134,688,247,185,453,385,124,0.144903,8151,186,141,-0.096842
43,Nike Air Max 1 Kasina Won-Ang Grey,Nike,160,2022-06-08,196,705,247,271,970,698,168,0.039004,1201,245,207,0.009756
44,Jordan 5 Retro Green Bean (2022),Nike,200,2022-05-28,163,1594,245,250,254,410,140,0.034806,3127,200,163,-0.052326
45,Nike Dunk Low Team Red (2022),Nike,100,2022-05-12,156,1735,242,250,490,407,135,0.070639,7593,192,159,-0.070175
46,Nike Air Force 1 Low '07 Black Black,Nike,90,2017-09-22,100,642,239,110,221,230,41,0.03484,36806,113,106,-0.018519
47,Jordan 4 Retro Zen Master,Nike,210,2022-03-19,229,1755,239,340,315,1000,205,0.079121,852,298,266,0.031008
48,Nike Air Force 1 Mid Stussy Hemp,Nike,150,2022-05-13,108,1481,218,154,427,429,95,0.056618,1820,159,129,-0.009258
49,Jordan 11 Retro Low 72-10,Nike,190,2022-05-14,180,2099,215,225,320,410,100,0.067032,7695,209,170,-0.028571
50,Nike Dunk Low UNC (2021),Nike,100,2021-06-24,285,935,205,400,434,755,200,0.077581,21985,331,312,-0.163539
51,Jordan 1 Mid Diamond Shorts,Nike,120,2022-02-09,146,2017,198,211,490,410,60,0.083447,21917,175,150,0.000133
52,Jordan 1 Mid Linen,Nike,115,2021-11-24,150,1274,196,171,425,394,90,0.059479,30885,182,158,0.060403
53,Nike Dunk Low EMB NBA 75th Anniversary Chicago,Nike,110,2021-10-23,134,1325,196,165,426,425,120,0.059457,21569,204,169,0.05422
54,Nike Air Force 1 Low Supreme White,Nike,96,2020-03-05,144,1229,195,350,762,671,0,0.122911,51963,175,205,0.263057
55,adidas Yeezy Boost 700 Wave Runner Solid Grey,Adidas,300,2017-11-01,338,2815,194,365,653,961,250,0.062504,29213,406,337,-0.146835
56,Nike Dunk Low Valerian Blue,Nike,100,2022-05-01,180,675,194,212,671,456,147,0.115571,4025,191,181,-0.138095
57,Nike Dunk Low 3D Swoosh,Nike,100,2022-05-01,121,805,189,146,311,255,105,0.068169,1370,143,149,-0.006945
58,Jordan 1 Retro High OG Rebellionaire,Nike,170,2022-03-12,146,1503,187,450,873,850,128,0.249209,16788,273,161,0.063661
59,New Balance 550 Cream Black,New Balance,100,2022-03-05,171,626,186,206,365,431,84,0.106368,3344,215,167,-0.169154
60,adidas Adilette 22 Slides Grey,Adidas,55,,65,168,186,120,109,176,59,0.077538,483,90,85,0.056483
61,Nike SB Dunk Low Valour Blue Team Maroon,Nike,100,,152,1140,181,248,395,625,132,0.120765,1760,223,219,0.177419
62,Jordan 1 Retro High OG Dark Marina Blue,Nike,170,2022-02-16,119,3392,180,195,489,550,106,0.148964,24411,213,167,-0.051136
63,Nike SB Dunk Low Pro St. Patrick's Day (2022),Nike,110,2022-03-05,129,1087,178,266,523,1800,113,0.063573,1989,263,188,-0.009741
64,Jordan 1 Mid Shadow Red,Nike,120,2021-10-06,130,1611,176,140,311,418,104,0.086265,18000,159,130,-0.015152
65,Jordan 1 Low Shadow Toe (GS),Nike,90,2022-03-01,120,264,176,135,188,244,109,0.065955,2398,139,129,-0.097902
66,adidas Yeezy Boost 350 V2 Dazzling Blue,Adidas,220,2022-02-26,231,1665,175,350,631,1277,211,0.105155,26682,324,327,-0.072392
67,Jordan 1 Mid UNC (2022) (W),Nike,120,2022-03-01,146,510,175,152,216,350,125,0.136119,3570,167,159,-0.176462
68,Nike Dunk Low Dark Marina Blue,Nike,100,2021-12-01,130,585,172,165,338,450,117,0.086473,6613,179,143,-0.046667
69,Crocs Pollex Clog by Salehe Bembury Urchin,Crocs,85,2022-05-24,147,723,171,180,325,840,124,0.068339,2165,199,151,-0.067901
70,adidas Yeezy Boost 350 V2 Blue Tint,Adidas,220,2017-12-16,215,1446,170,320,434,1157,215,0.091976,21114,317,312,0.135913
71,Jordan 12 Retro Playoffs (2022),Nike,210,2022-03-11,184,2459,165,260,258,525,158,0.1012,26603,252,218,0.129534
72,Nike Dunk Low Disrupt 2 Pale Ivory Black (W),Nike,110,2022-05-01,140,441,165,280,301,412,116,0.095376,3269,164,155,0.258414
73,Nike Dunk High Panda (2021) (W),Nike,110,2021-07-27,134,1407,163,170,251,321,78,0.066889,34060,168,160,0.300591
74,Crocs Pollex Clog by Salehe Bembury Crocodile,Crocs,85,2022-05-24,111,945,162,150,233,630,108,0.177144,1889,174,120,-0.059928
75,Jordan 4 Retro Red Thunder,Nike,190,2022-01-15,298,2400,161,325,731,1000,192,0.070898,37855,335,316,0.009585
76,Jordan 1 Retro High Dark Mocha,Nike,170,2020-10-31,415,1394,161,600,733,1153,230,0.051921,17358,522,425,0.036585
77,Nike Dunk Low Chlorophyll (GS),Nike,85,2022-01-15,90,417,159,126,190,280,86,0.108526,2281,125,139,0.022059
78,New Balance 530 White Silver Navy,New Balance,95,2021-02-17,89,507,156,175,99,350,62,0.062817,8709,119,98,-0.02
79,adidas Yeezy Boost 350 V2 Core Black White,Adidas,220,2016-12-17,273,1798,155,375,583,2875,270,0.042823,20788,333,310,-0.054878
80,Jordan 1 Mid Light Smoke Grey (GS),Nike,90,2022-04-07,126,560,155,146,227,240,121,0.067546,907,158,146,0
81,Jordan 9 Retro Chile Red,Nike,200,2022-05-07,215,1126,152,260,301,900,190,0.023273,7047,259,229,0.004386
82,Nike Air VaporMax 2021 FK White Black Metallic Silver,Nike,200,2021-06-24,91,580,152,174,233,383,40,0.178239,3536,143,93,0
83,Nike Air Max 90 Terrascape Sail Sea Glass,Nike,140,2021-10-28,83,668,150,140,262,392,79,0.212384,6596,146,104,0.072165
84,Nike Blazer Mid 77 Vintage White Black,Nike,100,2019-03-25,68,833,149,80,198,276,38,0.14915,24591,95,79,0.025974
85,Jordan 1 Mid Mystic Navy Mint Foam,Nike,120,2022-04-01,115,1160,148,165,249,295,103,0.040262,2668,145,120,0.016949
86,adidas Yeezy Boost 350 V2 Black Red (2017/2020),Adidas,220,2017-02-11,285,2377,144,501,430,875,0,0.175508,31355,404,265,-0.11323
87,adidas Adilette 22 Slides Magic Lime,Adidas,55,2022-06-01,66,300,144,72,80,151,55,0.089127,463,76,66,-0.131579
88,adidas Yeezy Foam RNR Onyx (Kids),Adidas,60,2022-06-08,114,197,143,160,85,223,95,0.032812,327,120,122,0
89,Nike Dunk Low Two Tone Grey,Nike,100,2022-03-01,165,621,142,250,381,388,146,0.140028,9022,204,170,-0.244444
90,Jordan 1 Retro Low OG Mystic Navy,Nike,130,2022-06-14,175,331,140,200,206,354,149,0.070241,184,193,160,-0.188194
91,Jordan 3 Retro Cardinal Red,Nike,200,2022-02-19,210,1816,140,226,368,572,188,0.026534,24482,252,230,0.022222
92,Nike Dunk Low Championship Court Purple,Nike,100,2022-05-05,176,1538,140,290,420,512,154,0.066574,13052,208,176,-0.111111
93,Nike Air Presto Hello Kitty (2022),Nike,140,2022-05-27,116,809,140,225,209,514,90,0.151221,4384,165,127,-0.216049
94,Nike Air Force 1 Low Puerto Rico (2022),Nike,120,2022-06-04,139,239,137,210,266,399,121,0.227714,1458,171,142,-0.443137
95,Jordan 6 Retro Midnight Navy (2022),Nike,190,2022-05-11,170,1422,136,200,259,675,140,0.067352,6069,217,193,0.078212
96,Jordan 1 Retro High White University Blue Black,Nike,170,2021-03-06,345,1882,133,510,867,764,220,0.129407,27897,419,450,0.285714
97,Nike Air Trainer 1 SP Travis Scott Wheat,Nike,140,2022-05-27,147,2281,132,202,467,797,108,0.133158,2606,231,147,-0.16
98,Nike SB Dunk Low Green Apple,Nike,110,,194,711,132,260,717,956,150,0.056003,1565,248,231,0.017621
99,adidas Yeezy Foam RNNR Ochre,Adidas,80,2021-08-02,157,1045,131,242,197,540,128,0.083852,48735,210,210,0.044776
100,Nike Dunk Low Next Nature White Mint (W),Nike,100,2022-03-11,138,707,131,182,391,354,112,0.161268,7968,158,142,0.028986
101,Jordan 5 Retro Low CLOT Jade,Nike,200,2022-05-14,143,1324,131,380,339,489,120,0.089822,2242,197,143,-0.182857
102,adidas Adilette 22 Slides Black,Adidas,55,,62,83,131,150,99,211,60,0.141296,369,97,156,0.575758
103,Crocs Pollex Clog by Salehe Bembury Stratus,Crocs,85,2022-05-24,159,721,130,200,354,750,144,0.066836,2075,213,159,-0.00625
104,Nike Dunk Low Easter 2022 (W),Nike,110,2022-04-17,114,692,128,126,179,243,101,0.154679,2546,151,124,-0.015873
105,Nike Air Force 1 Low White Navy Grey,Nike,100,2022-04-01,141,65,128,146,136,214,120,0.026605,546,151,162,0.117241
106,Jordan 1 Retro High OG Brotherhood,Nike,170,2022-02-24,133,2017,126,164,468,500,115,0.073686,11673,198,144,0.028571
107,Nike Dunk High Pink Prime (W),Nike,115,2022-05-05,128,645,125,135,193,349,100,0.151952,8180,158,125,-0.140675
108,Jordan 1 Retro Low Golf Wolf Grey,Nike,140,2022-01-20,155,733,124,242,359,725,145,0.043576,7955,239,166,-0.090962
109,Nike Air Trainer 1 SP Travis Scott Grey Haze,Nike,160,2022-05-27,148,2305,124,190,413,651,131,0.074079,2260,221,151,-0.122093
110,Jordan 1 Low OG Bleached Coral,Nike,130,,152,329,124,180,345,258,135,0.071635,548,171,147,-0.08125
111,Nike Dunk Low Retro Sun Club Wheat Grass Orange,Nike,100,2022-05-01,122,425,121,220,450,424,109,0.135052,2979,164,135,0.046512
112,Nike Dunk Low Chlorophyll,Nike,100,,136,195,121,255,370,368,108,0.252608,2372,160,136,-0.128205
113,Nike Dunk High Retro Cargo Khaki (2021),Nike,110,2022-04-01,120,676,120,127,100,435,72,0.219471,3005,147,127,0
114,Jordan 1 Mid Sonics (2021),Nike,115,2021-11-01,118,1138,119,200,286,319,90,0.059083,4402,151,129,0
115,Nike Dunk Low Black White (2022),Nike,100,2022-05-01,112,347,118,151,266,278,87,0.153214,2098,133,111,-0.008929
116,adidas Yeezy Foam RNR Onyx (Infants),Adidas,40,2022-06-08,92,245,117,127,99,174,68,0.037154,265,101,96,-0.04
117,Jordan 4 Retro Lightning (2021),Nike,220,2021-08-28,277,2160,116,321,714,910,198,0.057138,62965,285,285,-0.033898
118,Jordan 1 Retro High OG Atmosphere (W),Nike,170,2021-12-22,189,2044,116,218,416,693,166,0.077951,20115,260,190,-0.147358
119,Nike Dunk Low Venice (W),Nike,100,2022-02-02,165,969,115,220,295,314,144,0.050939,10411,196,190,0
120,Jordan 1 Low Inside Out Cream White Light Grey,Nike,110,2022-04-01,120,558,115,243,236,285,109,0.143036,1850,159,127,-0.105634
121,adidas Yeezy Boost 350 V2 MX Oat,Adidas,220,2021-10-23,234,1536,113,290,248,600,175,0.069798,30821,265,260,-0.094077
122,Nike Dunk Low Triple White (2021) (W),Nike,100,2021-08-18,115,494,112,132,194,346,80,0.154091,8597,139,111,-0.159091
123,Nike SB Dunk Low Pro Bart Simpson,Nike,110,2022-05-07,179,927,112,325,742,850,105,0.20664,4161,269,200,0.081081
124,Jordan 1 Low Mocha,Nike,100,2021-11-19,162,934,110,275,290,558,130,0.085567,13732,204,197,0.051909
125,Nike Dunk Low Retro White Black (PS),Nike,65,2021-03-10,65,1124,109,101,123,245,25,0.100811,12963,102,92,0.010989
126,Nike Dunk Low Light Iron Ore Red Blue,Nike,110,,122,738,109,155,319,317,112,0.065265,1296,146,148,0.109801
127,Nike Dunk Low Championship Goldenrod (2021),Nike,100,2021-12-16,124,1448,108,225,278,398,108,0.111691,20969,164,120,-0.104478
128,Nike Blazer Mid 77 White Black (W),Nike,100,2020-04-01,58,492,107,73,72,169,31,0.112278,14933,98,60,-0.166667
129,Jordan 5 Retro Easter (2022),Nike,210,2022-05-27,186,804,105,350,244,452,155,0.286797,2104,221,202,0.004975
130,Nike Dunk Low Essential Paisley Pack Orange (W),Nike,120,2022-05-01,149,551,105,270,269,522,142,0.083421,1956,201,182,0.109756
131,Nike Air Force 1 Low Supreme Black,Nike,96,2020-03-05,138,993,104,191,324,412,123,0.082956,23293,167,151,0.006667
132,Jordan 6 Retro UNC White,Nike,210,2022-03-05,215,1972,104,250,307,624,180,0.06967,21979,283,235,0.103286
133,Jordan 1 Mid Armory Navy,Nike,115,2022-03-29,113,1381,104,145,318,315,105,0.086973,14906,167,195,0.289458
134,adidas Yeezy 500 Granite,Adidas,210,2022-05-14,220,1347,104,236,272,437,180,0.072316,2296,242,235,0.005321
135,Jordan 1 Retro High OG Hyper Royal,Nike,170,2021-04-17,300,1324,103,450,635,682,131,0.161302,22631,387,340,0.037943
136,Nike Dunk High Championship White Red,Nike,115,2022-05-17,125,1073,101,160,248,377,110,0.083189,7269,156,124,-0.008
137,Jordan 1 Low Marina Blue (W),Nike,100,2022-01-29,123,699,100,145,285,281,115,0.072467,5149,144,143,-0.023879
138,Jordan 3 Retro Neapolitan Dark Mocha (W),Nike,200,2022-05-14,193,1005,100,250,467,450,174,0.191591,2943,238,190,-0.05
139,Nike Air Max 90 Terrascape Rattan Black,Nike,150,,83,261,100,141,132,271,84,0.129146,1235,132,157,-0.102857
140,adidas Adilette 22 Slides Magic Lime St Desert Sand,Adidas,55,2022-06-01,73,194,99,87,129,155,48,0.146936,515,78,81,-0.319328
141,Nike Air Force 1 Mid Stussy Light Bone Black,Nike,0,2022-05-13,129,2179,98,174,344,750,100,0.128357,2515,196,153,0.040816
142,adidas Adilette 22 Slides Black Grey,Adidas,55,,82,95,98,140,92,217,58,0.113475,206,111,102,0.073684
143,adidas Ultra Boost 4.0 DNA White,Adidas,200,2021-03-04,106,333,95,230,151,240,35,0.084331,12870,115,139,0.085938
144,Jordan 1 Low Bred Toe (GS),Nike,75,2021-12-08,91,1131,93,103,182,181,17,0.076706,16404,119,100,-0.101229
145,adidas Yeezy 500 Blush,Adidas,200,2018-02-16,237,1014,93,261,236,1043,200,0.123079,9412,262,265,-0.206978
146,Jordan 1 Retro High OG A Ma Maniére,Nike,200,2021-12-03,263,2152,92,351,865,939,235,0.05757,13780,399,327,0.062806
147,Jordan 1 Low Black University Blue White (W),Nike,100,2021-12-14,133,578,92,160,238,295,126,0.150596,8835,171,132,0.007634
148,Nike Dunk Low Fossil Rose,Nike,110,2022-05-04,154,1107,92,220,464,432,139,0.146971,6929,188,205,0.045918
149,Nike Air Max Correlate Black White Grey,Nike,120,2012-01-01,68,280,92,125,94,198,25,0.177885,4770,95,75,-0.299065
150,Puma LaMelo Ball MB.01 Galaxy,Puma,125,2022-04-29,135,659,92,201,104,367,120,0.039076,2912,165,130,-0.057971
151,Jordan 1 Retro High OG Stage Haze (GS),Nike,140,,142,249,92,165,251,245,128,0.066988,1173,176,170,-0.121151
152,Nike SB Dunk Low Blue Raspberry,Nike,110,2022-06-01,217,449,92,300,395,686,150,0.062891,1156,263,200,-0.145299
153,Nike SB Dunk Low Light Cognac,Nike,100,,174,571,92,300,411,555,139,0.089959,1101,198,184,-0.061224
154,Jordan 1 High Element Gore-Tex Light Bone,Nike,200,2021-12-16,177,837,91,337,288,560,130,0.107125,10971,256,180,0.016949
155,Jordan 1 Mid SE Light Iron Ore (W),Nike,120,2022-02-08,110,899,90,128,99,387,88,0.075016,4373,155,134,0.12605
156,adidas Yeezy 350 V2 CMPCT Slate Carbon,Adidas,230,2022-05-28,199,1319,89,265,178,670,150,0.039589,699,254,220,0
157,Nike Dunk Low Grey Fog,Nike,100,2021-09-21,269,569,87,380,403,565,140,0.070602,21109,281,289,-0.076677
158,Jordan 5 Retro Racer Blue,Nike,200,2022-02-12,185,1010,86,234,245,450,172,0.081199,23513,247,247,0.029167
159,Nike Dunk Low SE Next Nature Rift Blue,Nike,110,2022-02-01,146,415,86,175,204,491,119,0.1726,3043,195,159,0.21374
160,Nike Blazer Low Off-White University Red,Nike,140,2022-04-08,134,1368,85,165,283,571,108,0.087311,7669,209,155,0
161,Jordan 4 Retro Military Black (PS),Nike,90,2022-05-21,70,1171,84,85,102,299,50,0.172752,860,98,69,-0.148148
162,Nike Air Force 1 Low '07 QS Purple Skeleton Halloween (2021),Nike,130,2022-04-01,103,678,83,150,193,549,90,0.103732,7271,177,202,0.100265
163,Jordan 13 Retro Brave Blue,Nike,200,2022-04-29,174,1026,82,200,124,424,140,0.079964,4903,217,172,0.075
164,Jordan 1 Retro Low Golf Shattered Backboard,Nike,140,2022-06-01,140,1495,82,151,195,503,80,0.034525,705,168,155,0.107143
165,Nike Air Force 1 Low White (2018) (W),Nike,90,2018-01-01,88,386,81,89,112,176,47,0.200798,15937,98,99,0
166,Jordan 1 Retro Low Golf Chicago,Nike,140,2022-03-24,160,857,81,259,534,698,152,0.083519,7812,260,230,0.19171
167,Jordan 1 Mid Diamond Shorts (GS),Nike,100,2022-02-09,120,690,80,134,187,276,113,0.16585,10130,154,125,0
168,Jordan 1 Mid Light Smoke Grey Anthracite,Nike,120,2022-04-07,153,1262,79,200,228,397,111,0.106372,15721,207,195,0.128
169,Nike Dunk Low Next Nature Sun Club Arctic Orange,Nike,110,2022-05-20,119,582,78,164,176,400,106,0.047188,1701,154,123,-0.061069
170,adidas Yeezy Boost 350 V2 MX Rock,Adidas,220,2021-12-22,212,2247,77,285,326,950,111,0.057311,21035,272,255,-0.052045
171,Nike Blazer Low Off-White Black Electro Green,Nike,140,2022-04-08,104,1508,77,151,252,500,90,0.109908,5387,177,128,0.024
172,Jordan 4 Retro Blank Canvas (W),Nike,200,2022-03-24,209,489,77,245,496,735,161,0.100377,1000,284,297,-0.003496
173,Converse Chuck Taylor All-Star 70 Hi Comme des Garcons PLAY Black,Converse,125,2019-03-30,95,744,76,180,143,387,80,0.203878,12277,158,126,-0.007874
174,Jordan 1 Mid SE Craft Inside Out White Grey,Nike,120,2022-03-01,129,560,76,152,253,298,110,0.103199,1483,156,129,-0.202527
175,Nike Dunk Low Graffiti Pink,Nike,110,2022-05-01,117,189,76,201,139,250,100,0.155205,632,134,128,-0.251462
176,Nike SB Dunk High New York Mets,Nike,120,2022-06-01,164,769,76,185,158,495,140,0.042246,616,196,171,0.036364
177,Nike Air Force 1 Low '07 White Black Pebbled Leather,Nike,90,2021-01-14,90,607,75,100,147,215,50,0.117364,13111,114,122,0.300903
178,Nike Dunk Low SE Barber Shop Grey,Nike,110,2022-05-01,125,489,75,216,263,810,105,0.105707,3575,157,142,0.126984
179,Nike SB Dunk Low Cherry,Nike,110,,157,705,75,246,366,449,134,0.088737,1364,200,184,0.083616
180,adidas Yeezy Boost 350 V2 Light,Adidas,220,2021-08-28,230,1749,74,305,217,646,164,0.084996,40923,272,296,-0.015308
181,Nike Vaporwaffle sacai Black Gum,Nike,180,2022-03-10,231,963,74,340,451,1106,196,0.120621,8111,348,273,-0.251063
182,New Balance 550 Silver Birch (W),New Balance,110,2022-05-25,140,276,74,180,71,270,134,0.177947,135,182,140,-0.204545
183,Jordan 3 Retro Muslin,Nike,200,2022-03-25,220,1241,73,251,329,851,194,0.062613,7933,268,217,-0.194069
184,Nike Dunk Low Midas Gold,Nike,100,2022-02-15,130,932,72,180,224,279,115,0.251103,16265,157,135,-0.035714
185,Nike Air VaporMax Plus Triple Black,Nike,190,2018-01-25,174,489,72,220,169,484,119,0.091185,11189,212,175,0.075447
186,Jordan 1 Mid SE Zen Master,Nike,125,2022-06-23,99,1128,72,190,120,230,90,0.077225,510,134,105,0.029412
187,adidas Yeezy Boost 700 V2 Static (2018/2022),Adidas,300,2018-12-29,265,1734,71,295,355,1168,249,0.09692,6893,347,265,0.055777
188,New Balance 550 Au Lait (W),New Balance,100,2022-03-15,145,430,71,230,138,531,114,0.098908,1967,187,186,0.280672
189,Jordan 1 Mid Reverse Bred (2021),Nike,120,2022-02-01,105,990,71,141,91,246,94,0.13853,1932,128,123,0.302678
190,Nike SB Dunk Low Gnarhunters,Nike,120,2022-03-01,140,430,71,235,316,573,85,0.114774,1202,192,197,0.077836
191,Nike SB Dunk High Pineapple,Nike,120,,134,485,71,251,132,364,119,0.115883,398,195,122,-0.098693
192,New Balance 550 White Green,New Balance,120,2021-06-24,230,283,70,315,261,920,121,0.183687,13361,237,269,-0.106312
193,Jordan 2 Retro SP Union Grey Fog,Nike,225,2022-04-15,208,1479,70,290,589,1380,194,0.113766,4011,331,260,-0.054545
194,Jordan 1 Low Bulls,Nike,100,2022-04-01,113,816,70,115,154,222,103,0.073757,531,141,120,-0.008264
195,adidas Yeezy Boost 350 V2 Mono Ice,Adidas,220,2021-06-18,240,1441,69,272,189,497,180,0.04224,29979,283,273,0.092
196,Jordan 3 Retro Pine Green,Nike,190,2021-10-30,192,1004,69,250,268,1000,165,0.096288,27352,229,264,0.319709
197,Nike Dunk Low Ocean (W),Nike,100,2022-05-01,163,814,69,265,329,400,138,0.200843,1449,191,199,-0.363421
198,Jordan 1 Low Washed Denim (GS),Nike,80,2022-02-01,88,389,69,97,73,225,72,0.114507,1331,116,96,-0.025
199,New Balance 990v3 MiUSA Teddy Santis Sea Salt,New Balance,210,2022-05-26,210,386,69,254,381,529,190,0.06658,867,248,224,-0.114625
200,Jordan 3 Retro Desert Elephant,Nike,200,2022-07-01,199,208,68,251,47,448,175,0.035325,93,227,209,0.050251
201,Nike Dunk Low EMB NBA 75th Anniversary Brooklyn Nets,Nike,110,2021-10-19,140,674,67,147,208,347,124,0.083228,9863,171,161,-0.029743
202,Jordan 1 Mid Coconut Milk (W),Nike,120,2022-02-04,118,812,67,127,132,276,100,0.07717,5870,159,135,0.060308
203,New Balance 550 White Grey Dark Grey,New Balance,100,2022-05-12,111,389,67,161,241,351,50,0.089417,929,175,171,0.05572
204,Nike Dunk Low Michigan State,Nike,100,2021-06-03,309,525,66,426,405,943,198,0.101224,16195,310,309,0.029681
205,Jordan 1 Low Diamond Shorts,Nike,120,2022-02-09,129,1365,66,260,317,301,100,0.08183,11906,147,171,0.265343
206,Nike Vaporwaffle sacai Sail Gum,Nike,180,2022-03-10,255,885,66,709,488,1927,200,0.1275,8382,507,366,-0.336874
207,Nike Dunk Low Union Passport Pack Argon,Nike,150,2022-04-02,250,1582,66,334,471,2000,234,0.089808,6965,340,292,-0.045752
208,Jordan 1 Mid Banned (2020),Nike,115,2020-11-12,145,1042,65,233,251,347,0,0.155463,22542,184,248,0.47619
209,Nike Dunk Low Retro White Black (TD),Nike,50,2021-03-10,60,527,65,60,68,142,45,0.032854,10647,77,70,0.031265
210,Nike Air Max 97 Triple White Wolf Grey,Nike,160,2017-08-01,110,508,65,145,181,324,50,0.0816,9884,159,148,0.080292
211,Crocs Classic Clog SZA,Crocs,70,2022-05-06,73,324,65,180,62,299,60,0.139502,1445,102,125,0.785714
212,Jordan 1 Retro High OG Bordeaux,Nike,170,2021-11-20,165,2361,63,190,352,1200,120,0.087672,24204,208,168,0.005988
213,Puma LaMelo Ball MB.01 Queen City,Puma,125,2022-03-13,223,250,63,245,199,600,149,0.077508,10288,192,223,-0.038793
214,Jordan 1 Low Triple White Tumbled Leather,Nike,90,2020-04-01,120,436,63,125,145,237,45,0.081757,7752,132,125,-0.132416
215,Nike Dunk Low Disrupt 2 Phantom University Blue (W),Nike,110,2022-02-03,161,192,63,200,233,356,110,0.07204,7745,189,225,0.428457
216,Jordan 1 Retro Low Golf UNC,Nike,130,2022-02-25,134,800,63,193,304,574,120,0.065794,5018,217,190,0.098266
217,Jordan 4 Retro White Oreo (2021),Nike,190,2021-07-03,390,1055,62,480,454,782,0,0.18678,47020,346,410,-0.088889
218,Jordan 1 Retro Low Golf Shadow,Nike,140,2022-01-20,143,1144,61,173,245,540,116,0.094047,5487,184,134,-0.007407
219,Nike Air Max Plus White,Nike,150,2019-01-01,136,271,61,150,158,311,91,0.1282,4532,172,167,0.063694
220,Nike Air Force 1 Low Puerto Rico Boricua,Nike,120,2022-06-04,160,86,61,157,87,300,120,0.102496,217,170,190,0.158537
221,Jordan 1 Retro High Pollen,Nike,170,2021-08-14,180,1970,60,222,326,600,0,0.112968,36019,218,170,-0.119171
222,Nike Air Max 1 SP Concepts Mellow,Nike,170,2022-03-05,154,1297,60,220,437,1080,84,0.102641,9399,236,153,-0.089286
223,Jordan 1 Mid SE Light Mulberry (W),Nike,130,2022-03-29,128,815,60,150,337,375,102,0.08053,5793,171,176,0.336148
224,New Balance 550 Burgundy Cyan,New Balance,120,2022-01-08,105,745,60,171,180,491,85,0.119832,2828,154,130,0.095977
225,Jordan 1 Low Green Toe,Nike,100,2021-10-12,125,561,59,179,311,346,40,0.134237,12464,164,184,-0.102439
226,Jordan 1 Mid SE Coconut Milk Particle Grey,Nike,130,2022-02-24,122,1126,59,160,186,306,109,0.12753,6378,156,168,0.092812
227,Nike Blazer Low Sacai White Patent Leather,Nike,120,2022-03-31,98,720,59,119,152,487,38,0.130612,3923,135,145,0.12959
228,adidas Yeezy Boost 700 MNVN Geode,Adidas,220,2022-04-19,179,473,59,250,146,483,131,0.127823,3391,198,173,-0.195349
229,adidas Yeezy Slide Onyx (Kids),Adidas,50,2021-03-07,71,562,59,75,87,280,54,0.116399,2615,87,65,-0.097222
230,Nike Air Trainer SC High Auburn,Nike,150,2022-05-01,146,142,59,276,101,380,125,0.298586,990,174,152,-0.044025
