,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,averageDeadstockPrice,lastSale,changePercentage
883,Nike Killshot 2 Leather Sail Gum,Nike,90,2020-07-01,65,123,14,81,28,283,47,0.140883,992,96,70,0.029412
884,Crocs Classic Clog Staple Sidewalk Luxe,Crocs,80,2022-04-12,85,231,14,84,50,180,62,0.052842,940,100,89,0.147321
885,Jordan 1 Mid SE Particle Grey (W),Nike,140,2022-02-14,128,304,14,140,67,246,107,0.142565,907,149,128,-0.228916
886,Nike Epic React Flyknit 2 Black Anthracite,Nike,150,2019-01-31,63,221,14,70,75,205,49,0.275186,687,99,63,-0.202532
887,Jordan MA2 Future Beginnings,Nike,150,2021-03-05,79,131,14,160,83,235,51,0.285841,654,126,92,-0.239669
888,Nike React Element 55 White Black Crimson Gold,Nike,130,2019-07-01,73,68,14,90,66,198,26,0.218654,623,108,82,-0.360961
889,New Balance 2002R Black Fig,New Balance,130,2022-01-29,132,267,14,144,54,285,115,0.082181,583,174,178,0.328358
890,Nike ACG Mountain Fly Low Gore-Tex SE Hazel Rush,Nike,180,2022-04-22,117,137,14,196,100,298,80,0.23847,520,188,135,-0.4
891,Nike Air Max 90 Terrascape Obsidian,Nike,150,2022-02-04,122,218,14,130,70,278,100,0.116503,514,159,215,0.414474
892,Nike Dunk High Australia (GS),Nike,95,2022-05-01,102,221,14,101,43,263,94,0.082048,453,121,124,-0.063917
893,Nike SB Nyjah Free 2 Rattan Noble Green,Nike,105,2022-02-04,91,66,14,82,11,291,63,0.405639,436,109,99,-0.575107
894,Nike Air Max 90 Air Sprung Iron Grey,Nike,140,,116,94,14,150,38,337,75,0.131098,407,140,130,-0.084507
895,A Bathing Ape Bape SK8 Sta ABC Camo Blue (2022),BAPE,170,2022-04-27,253,75,14,310,73,575,205,0.34048,330,292,260,-0.197837
896,New Balance 530 Ivory,New Balance,80,,77,122,14,106,25,250,72,0.303459,293,111,74,-0.168539
897,Nike Air Max 90 NRG Ridgerock Turbo Green,Nike,140,2022-05-12,88,235,14,131,80,370,71,0.138188,292,133,125,-0.0518
898,adidas Superstar Black White Sail,Adidas,100,,135,38,14,141,61,227,80,0.11849,176,140,145,-0.226671
899,Nike Air Zoom Type SE White Black,Nike,150,2021-03-24,81,114,14,70,35,226,63,0.166808,172,110,90,0.046512
900,Nike Dunk High Anthracite White,Nike,110,2022-05-19,108,112,14,130,73,187,89,0.090793,162,125,108,-0.217531
901,Nike Dunk High Vintage Light Bone Grey,Nike,110,,132,140,14,150,98,279,98,0.075949,155,153,153,-0.078313
902,Nike Dunk High Premium Culture Day,Nike,110,2022-04-27,85,145,14,130,75,224,76,0.103408,155,109,134,0.378923
903,Nike Dunk Low Chlorophyll (TD),Nike,45,,59,57,14,80,39,132,54,0.166425,138,72,65,-0.35
904,Nike Dunk Low Setsubun (2022),Nike,110,2022-06-01,324,61,14,380,201,671,240,0.093314,110,365,354,-0.144928
905,Nike Dunk High Obsidian,Nike,0,,106,102,14,125,21,208,84,0.126064,28,132,168,0.866667
906,Nike Dunk High Knicks,Nike,110,2022-06-01,112,122,13,175,92,212,99,0.091603,101,138,116,-0.079365
907,Jordan 11 Retro Cool Grey (2021) (PS),Nike,100,2021-12-11,100,611,13,128,75,295,60,0.131445,15231,129,75,-0.25
908,adidas Forum Low Bad Bunny Back to School,Adidas,160,2021-08-17,260,327,13,302,159,829,56,0.184095,9529,274,230,-0.310742
909,New Balance 992 Grey,New Balance,175,2020-03-15,202,243,13,304,251,497,0,0.119901,9005,236,315,0.105263
910,Jordan 5 Retro Shattered Backboard,Nike,190,2021-10-02,170,834,13,180,202,496,130,0.129933,8253,206,151,-0.201058
911,Jordan 1 Mid SE Purple,Nike,115,2020-11-19,133,380,13,160,125,342,60,0.183147,8059,169,150,-0.112426
912,Jordan 1 Retro High Court Purple (W),Nike,170,2021-06-03,130,1056,13,143,124,263,0,0.112131,8058,168,135,-0.129032
